Comment,Designator,Footprint,LCSC
BA41-80BT-1-ZHB,CN2,CONN-SMD_FBB08006-F80S1013W5M,C508657
BA42-80BT-1-NHB,CN1,CONN-SMD_BA42-80BT-1-NHB,C508676
