Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
CN1,BA42-80BT-1-NHB,CONN-SMD_BA42-80BT-1-NHB,123.525525,-69.343518,180.0,top
CN2,BA41-80BT-1-ZHB,CONN-SMD_FBB08006-F80S1013W5M,123.571876,-103.655277,0.0,top
